"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"ENSGALG00000003260",0.386726706034479,0.971336520469092,-284.238343703053,-287.405849054967,13,7,1474.98058324274,0,0,0,FALSE
"ENSGALG00000051036",0.990764246544424,1,-240.782533193472,-241.205856014833,13,7,135.676140451641,0,0,0,FALSE
"ENSGALG00000003284",0.0776515336555909,0.397333821562374,-277.470483120509,-283.154407683504,13,7,1627.85005951249,0,0,0,FALSE
"ENSGALG00000003294",0.722880193670212,1,-277.668502843278,-279.497366174067,13,7,795.569332879303,0,0,0,FALSE
"ENSGALG00000003319",0.462569268786705,1,-160.837346372299,-163.666347773892,13,7,21.4973240133915,0,0,0,FALSE
"ENSGALG00000003397",0.803668998213131,1,-265.927577846126,-267.448135585998,13,7,947.419577663751,0,0,0,FALSE
"ENSGALG00000003426",0.577812982326355,1,-150.086259417637,-152.455318704815,13,7,15.117075373434,0,0,0,FALSE
"ENSGALG00000003434",0.90052752374107,1,-264.882575343044,-265.982022837225,13,7,667.963277525001,0,0,0,FALSE
"ENSGALG00000003454",0.509685936404926,1,-327.121054108948,-329.756025946519,13,7,4833.68934448001,0,0,0,FALSE
"ENSGALG00000003476",0.90281179925588,1,-264.873149991968,-265.961196159303,13,7,640.004575904563,0,0,0,FALSE
"ENSGALG00000003496",0.61976038052372,1,-225.221225244241,-227.432244985985,13,7,174.177187012892,0,0,0,FALSE
"ENSGALG00000046125",0.000264771634961643,0.00440618660571898,-258.907550859433,-271.705295848502,13,7,468.295234982738,0,0,0,FALSE
"ENSGALG00000046212",0.387830792826426,0.972636452944089,-65.6790464099506,-68.8413300730694,13,7,3.64744685106059,0,0,0,FALSE
"ENSGALG00000003520",0.353448636559218,0.936575652254373,-223.761250851066,-227.0911933559,13,7,242.575587148728,0,0,0,FALSE
"ENSGALG00000003532",0.686495317783903,1,-377.078675842327,-379.042395619356,13,7,20328.223462042,0,0,0,FALSE
"ENSGALG00000027517",0.89945625238032,1,-209.968681325138,-211.07343916743,13,7,66.552621042364,0,0,0,FALSE
"ENSGALG00000003540",0.0386608195190493,0.24727861835236,-237.666803380681,-244.311601687691,13,7,365.930356524259,0,0,0,FALSE
"ENSGALG00000003566",0.844522228587294,1,-244.575857329631,-245.929769586834,13,7,238.973215251885,0,0,0,FALSE
"ENSGALG00000003584",0.641666093836684,1,-354.041693500372,-356.171215331912,13,7,6124.56944509563,0,0,0,FALSE
"ENSGALG00000003590",0.286317961747691,0.852222894670629,-139.365458068999,-143.060235739463,13,7,12.4577744880437,0,0,0,FALSE
"ENSGALG00000050405",0.0620632941183892,0.345409845610483,-254.191002609072,-260.188886332209,13,7,653.055898475665,0,0,0,FALSE
"ENSGALG00000047203",0.800755586546401,1,-276.4094628457,-277.94152901147,13,7,500.057661446025,0,0,0,FALSE
"ENSGALG00000038222",0.571229911148922,1,-260.478038512187,-262.872219079207,13,7,353.409379561336,0,0,0,FALSE
"ENSGALG00000003650",0.0459019056609872,0.279948285250283,-307.224859952285,-313.637323657055,13,7,2097.7269278386,0,0,0,FALSE
"ENSGALG00000051534",0.814757282668305,1,-256.397290401253,-257.873649931263,13,7,270.799227799617,0,0,0,FALSE
"ENSGALG00000026816",0.848543876430982,1,-228.504351994558,-229.841201873806,13,7,100.951584664089,0,0,0,FALSE
"ENSGALG00000026225",0.905734401653119,1,-321.528313411359,-322.601611150797,13,7,2986.32680578004,0,0,0,FALSE
"ENSGALG00000027152",0.650312860817772,1,-295.656842978893,-297.754319175704,13,7,880.170794648263,0,0,0,FALSE
"ENSGALG00000027771",0.91080194908813,1,-45.0603848816055,-46.1076527792188,13,7,0.667472296575731,0,0,0,FALSE
"ENSGALG00000026091",0.00623888874941051,0.0619001105355615,-203.388757733318,-212.387419192016,13,7,82.8145260737159,0,0,0,FALSE
"ENSGALG00000003911",4.30671738697821e-05,0.000924432194565662,-276.151999235095,-291.047641421078,13,7,656.818544123033,0,0,0,FALSE
"ENSGALG00000025950",0.00102969639408806,0.0143752102891191,-256.288958681779,-267.482880889322,13,7,591.979335925844,0,0,0,FALSE
"ENSGALG00000033376",0.12686948050643,0.546263735997362,-190.503380618989,-195.477258135208,13,7,54.4347131572311,0,0,0,FALSE
"ENSGALG00000034989",0.233612715169443,0.774196904664342,-258.488352937488,-262.519238032248,13,7,518.641023060553,0,0,0,FALSE
"ENSGALG00000039200",0.49378414147968,1,-298.42152292012,-301.120871245336,13,7,881.674094431865,0,0,0,FALSE
"ENSGALG00000029610",0.590981676182852,1,-186.220426203176,-188.539520694247,13,7,65.5731701257247,0,0,0,FALSE
"ENSGALG00000029249",0.379205759220959,0.964193046176339,-176.112667766185,-179.316014253245,13,7,28.1152301644874,0,0,0,FALSE
"ENSGALG00000036028",0.905705689869912,1,-274.69759994112,-275.771043477927,13,7,403.753405251966,0,0,0,FALSE
"ENSGALG00000004193",0.982692966930656,1,-229.758321548582,-230.294821627039,13,7,118.919582113651,0,0,0,FALSE
"ENSGALG00000004162",0.196872912223998,0.708598606116824,-298.191615947735,-302.495460568043,13,7,763.660227487815,0,0,0,FALSE
"ENSGALG00000004215",0.836405675108742,1,-293.408451747214,-294.796387388665,13,7,1077.91921217805,0,0,0,FALSE
"ENSGALG00000004237",0.246648187521434,0.793685389541424,-331.446645822293,-335.389159060452,13,7,3617.26326538052,0,0,0,FALSE
"ENSGALG00000040655",5.80436698565668e-15,7.73770125230774e-13,-218.570004327296,-258.05972923752,13,7,133.214896305039,0,0,0,FALSE
"ENSGALG00000021399",0.136225886860805,0.570861987026744,-131.385739129396,-136.253663190497,13,7,9.90148868204413,0,0,0,FALSE
"ENSGALG00000021395",0.291417351963025,0.858468840990662,-82.5769581690981,-86.241880256571,13,7,5.19474527980456,0,0,0,FALSE
"ENSGALG00000004333",0.0344394635177617,0.228674295781615,-265.063448838714,-271.863389192681,13,7,308.084449643315,0,0,0,FALSE
